RESPONDENT,MARITAL,AGE,EDUC,SEX,SIBS,CHILDS,HOMPOP,PRESTG80,INCOME06,RINCOM06,SATFIN,HRS1,DWELOWN,SEI,HAPMAR,EVSTRAY,SPANKING,ABANY,ABDEFCTW,MARHOMO,HAPPY,HEALTH,LIFE,LETDIE1,OWNGUN,NEWS,TVHOURS,FEAR,PARTYID,POLVIEWS,NATENVIR,NATHEAL,NATCRIME,NATEDUC,NATARMS,NATAID,NATFARE,NATSOC,NATCHLD,NATSCI,NATFAREY,CAPPUN,GUNLAW,COURTS,GRASS,FEJOBAFF,DISCAFFM,DISCAFFW,INCGAP,TAXRICH,RELIG,DENOM,FUND,ATTEND,RELITEN,POSTLIFE,PRAY,RELEXP,SEXEDUC,PREMARSX,TEENSEX,XMARSEX,PORNLAW,XMOVIE,PARTNERS,SEXFREQ,SEXORNT,FECHLD,FEPRESCH,FEFAM
1481,1,62,12,2,5,2,2,35,21,18,3,42,1,37.9,2,0,2,1,0,2,2,2,3,1,0,1,1,0,1,4,1,1,1,3,3,3,3,1,2,3,0,1,1,2,7,4,2,0,0,0,2,0,2,4,1,1,4,0,1,4,2,1,0,7,1,2,3,1,4,4
1482,3,81,16,2,2,2,1,55,9,0,2,-1,2,56.6,0,0,3,7,3,0,2,0,0,1,7,5,3,7,2,6,1,1,1,1,3,3,2,2,1,2,0,0,7,2,0,3,3,0,0,0,1,50,3,7,1,1,1,1,1,2,1,0,1,0,0,0,3,3,2,3
1483,1,52,12,1,6,2,2,36,19,18,2,70,0,28.6,1,0,0,1,4,3,3,1,1,7,1,0,-1,0,3,4,2,1,1,2,3,3,3,3,2,3,0,1,0,2,0,0,0,0,3,2,4,0,3,0,4,1,6,0,7,0,0,1,2,1,1,5,3,0,0,0
1484,1,81,12,1,2,3,2,43,12,0,3,-1,1,37.3,2,0,1,0,0,4,2,1,2,1,1,1,2,0,5,6,3,2,2,2,2,3,2,2,2,2,0,1,0,2,7,3,2,0,0,0,1,60,3,1,2,1,4,0,1,3,2,1,0,7,0,0,3,3,2,2
1485,5,51,16,1,4,1,1,49,11,9,2,40,1,64.2,0,7,2,1,0,5,2,1,2,1,1,3,3,0,4,5,2,1,2,1,3,3,3,3,2,2,0,1,0,3,7,4,2,0,0,0,1,48,3,2,2,1,5,0,1,4,1,1,0,7,1,2,3,2,3,3
1486,3,54,18,2,1,2,2,51,14,14,2,20,1,63.5,0,0,4,7,4,0,2,0,0,1,7,1,2,7,0,1,1,1,2,2,3,2,1,1,1,2,0,0,7,1,0,2,4,0,0,0,4,0,3,0,4,1,4,1,1,4,3,0,2,0,1,3,3,2,3,4
1487,1,52,13,2,2,0,2,32,20,15,3,41,2,40.2,1,1,3,7,4,0,1,0,0,1,7,1,4,7,4,4,1,1,3,3,2,3,3,1,1,1,0,1,7,1,1,4,4,0,0,0,1,18,1,0,2,0,4,1,1,4,2,0,2,1,1,3,3,3,2,2
1488,1,75,16,2,7,3,2,51,19,0,1,-1,1,63.5,1,0,3,7,4,0,1,0,0,1,7,3,4,7,2,4,1,1,1,2,3,3,1,2,2,1,0,0,7,3,0,3,2,0,0,0,2,0,2,0,2,1,2,1,1,3,2,0,2,0,1,4,3,2,3,3
1489,1,52,12,2,4,2,2,35,20,14,2,40,2,37.9,2,0,2,7,4,0,2,0,0,1,7,3,4,7,6,6,1,1,1,2,1,3,2,1,1,1,0,1,7,2,1,4,2,0,0,0,11,70,2,0,9,1,3,0,1,3,2,0,2,1,1,4,3,2,3,1
1490,5,28,12,1,3,0,2,37,16,16,2,50,1,25.8,0,7,3,7,4,0,2,0,0,1,7,2,0,7,2,2,1,1,2,1,3,3,2,2,2,2,0,0,7,3,1,3,3,0,0,0,4,0,3,0,4,8,6,0,1,4,2,0,2,0,1,5,3,2,3,3
1491,3,40,10,2,1,2,3,29,11,11,3,-1,2,33.1,0,0,3,0,0,2,2,3,3,7,0,2,4,1,5,4,0,0,0,0,0,0,0,1,1,8,1,1,0,2,7,0,0,2,0,0,1,28,3,3,3,1,5,0,1,4,2,2,0,7,1,5,3,2,3,2
1492,3,61,14,1,2,1,1,30,18,18,2,62,0,35.1,0,0,0,1,4,2,3,2,2,7,1,0,-1,0,6,1,0,0,0,0,0,0,0,1,1,2,1,0,1,2,0,0,0,0,3,4,1,14,1,1,2,1,2,0,7,0,0,1,2,1,1,1,3,0,0,0
